ì˙éû,ã§ópïî,êÍóLïî,çáåv
2018/11/28,24,229,253
2018/11/29,35,252,287
2018/11/30,39,204,243
2018/12/1,12,228,240
2018/12/2,10,276,286
2018/12/3,34,207,241
2018/12/4,20,233,253
2018/12/5,9,220,229
2018/12/6,68,207,275
2018/12/7,28,250,278
2018/12/8,10,225,235
2018/12/9,9,367,376
2018/12/10,100,392,492
2018/12/11,111,435,546
2018/12/12,102,526,628
2018/12/13,100,447,547
2018/12/14,111,505,616
2018/12/15,10,346,356
2018/12/16,17,561,578
2018/12/17,109,472,581
2018/12/18,104,345,449
2018/12/19,102,393,495
2018/12/20,87,430,517
2018/12/21,91,379,470
2018/12/22,14,235,249
2018/12/23,11,273,284
2018/12/24,8,352,360
2018/12/25,110,429,539
2018/12/26,105,388,493
2018/12/27,94,306,400
2018/12/28,112,455,567
2018/12/29,13,269,282
2018/12/30,8,234,242
2018/12/31,11,56,67
2019/1/1,10,57,67
2019/1/2,9,55,64
2019/1/3,11,96,107
2019/1/4,129,264,393
2019/1/5,11,525,536
2019/1/6,10,553,563
2019/1/7,120,583,703
2019/1/8,122,546,668
2019/1/9,123,655,778
2019/1/10,127,591,718
2019/1/11,112,489,601
2019/1/12,21,701,722
2019/1/13,10,420,430
2019/1/14,10,349,359
2019/1/15,122,523,645
2019/1/16,106,449,555
2019/1/17,109,457,566
2019/1/18,116,406,522
2019/1/19,31,442,473
2019/1/20,20,470,490
2019/1/21,116,455,571
2019/1/22,114,418,532
2019/1/23,112,448,560
2019/1/24,116,442,558
2019/1/25,116,438,554
2019/1/26,15,407,422
2019/1/27,16,448,464
2019/1/28,113,493,606
2019/1/29,117,453,570
2019/1/30,116,434,550
2019/1/31,113,495,608
2019/2/1,121,491,612
2019/2/2,9,304,313
2019/2/3,31,275,306
2019/2/4,61,355,416
2019/2/5,113,447,560
2019/2/6,116,514,630
2019/2/7,93,469,562
2019/2/8,112,448,560
2019/2/9,9,493,502
2019/2/10,10,503,513
2019/2/11,11,581,592
2019/2/12,114,471,585
2019/2/13,121,538,659
2019/2/14,122,626,748
2019/2/15,125,624,749
2019/2/16,17,357,374
2019/2/17,9,411,420
2019/2/18,102,453,555
2019/2/19,105,491,596
2019/2/20,51,304,355
2019/2/21,82,315,397
2019/2/22,82,335,417
2019/2/23,10,202,212
2019/2/24,8,280,288
2019/2/25,65,361,426
2019/2/26,81,333,414
2019/2/27,99,318,417
2019/2/28,101,398,499
2019/3/1,91,353,444
2019/3/2,21,257,278
2019/3/3,10,398,408
2019/3/4,103,370,473
2019/3/5,82,323,405
2019/3/6,74,368,442
2019/3/7,95,442,537
2019/3/8,103,323,426
2019/3/9,14,207,221
2019/3/10,9,267,276
2019/3/11,60,318,378
2019/3/12,44,262,306
2019/3/13,34,263,297
2019/3/14,82,381,463
2019/3/15,69,411,480
2019/3/16,12,217,229
2019/3/17,9,245,254
2019/3/18,74,309,383
2019/3/19,40,265,305
2019/3/20,31,230,261
2019/3/21,9,219,228
2019/3/22,10,215,225
2019/3/23,10,283,293
2019/3/24,10,266,276
2019/3/25,74,228,302
2019/3/26,62,172,234
2019/3/27,30,243,273
2019/3/28,27,318,345
2019/3/29,87,369,456
2019/3/30,11,248,259
2019/3/31,9,202,211
2019/4/1,80,224,304
2019/4/2,92,279,371
2019/4/3,93,327,420
2019/4/4,50,325,375
2019/4/5,23,239,262
2019/4/6,9,177,186
2019/4/7,12,126,138
2019/4/8,67,269,336
2019/4/9,46,214,260
2019/4/10,104,481,585
2019/4/11,68,309,377
2019/4/12,81,334,415
2019/4/13,14,259,273
2019/4/14,8,201,209
2019/4/15,15,234,249
2019/4/16,19,242,261
2019/4/17,8,248,256
2019/4/18,12,264,276
2019/4/19,12,302,314
2019/4/20,10,188,198
2019/4/21,11,95,106
2019/4/22,13,358,371
2019/4/23,14,336,350
2019/4/24,12,344,356
2019/4/25,13,412,425
2019/4/26,25,315,340
2019/4/27,9,215,224
2019/4/28,11,112,123
2019/4/29,8,80,88
2019/4/30,10,252,262
2019/5/1,10,70,80
2019/5/2,10,302,312
2019/5/3,11,252,263
2019/5/4,8,205,213
2019/5/5,9,59,68
2019/5/6,10,61,71
2019/5/7,8,239,247
2019/5/8,12,238,250
2019/5/9,13,267,280
2019/5/10,8,374,382
2019/5/11,17,307,324
2019/5/12,12,95,107
2019/5/13,12,291,303
2019/5/14,11,335,346
2019/5/15,9,391,400
2019/5/16,13,426,439
2019/5/17,19,442,461
2019/5/18,15,336,351
2019/5/19,10,163,173
2019/5/20,20,391,411
2019/5/21,18,371,389
2019/5/22,19,374,393
2019/5/23,16,431,447
2019/5/24,18,533,551
2019/5/25,11,510,521
2019/5/26,13,236,249
2019/5/27,26,723,749
2019/5/28,22,597,619
2019/5/29,21,514,535
2019/5/30,18,499,517
2019/5/31,15,500,515
2019/6/1,10,392,402
2019/6/2,10,160,170
2019/6/3,16,562,578
2019/6/4,18,573,591
2019/6/5,15,557,572
2019/6/6,19,698,717
2019/6/7,17,500,517
2019/6/8,10,388,398
2019/6/9,9,104,113
2019/6/10,11,328,339
2019/6/11,12,361,373
2019/6/12,14,337,351
2019/6/13,16,459,475
2019/6/14,17,516,533
2019/6/15,9,252,261
2019/6/16,9,182,191
2019/6/17,18,494,512
2019/6/18,19,551,570
2019/6/19,17,622,639
2019/6/20,18,620,638
2019/6/21,18,602,620
2019/6/22,42,434,476
2019/6/23,26,168,194
2019/6/24,13,388,401
2019/6/25,25,532,557
2019/6/26,41,649,690
2019/6/27,50,612,662
2019/6/28,58,673,731
2019/6/29,10,369,379
2019/6/30,8,164,172
2019/7/1,18,475,493
2019/7/2,32,563,595
2019/7/3,39,609,648
2019/7/4,23,521,544
2019/7/5,18,529,547
2019/7/6,14,370,384
2019/7/7,8,154,162
2019/7/8,18,436,454
2019/7/9,15,389,404
2019/7/10,14,442,456
2019/7/11,17,420,437
2019/7/12,13,396,409
2019/7/13,17,383,400
2019/7/14,9,130,139
2019/7/15,8,333,341
2019/7/16,17,397,414
2019/7/17,25,527,552
2019/7/18,44,649,693
2019/7/19,57,777,834
2019/7/20,12,532,544
2019/7/21,8,215,223
2019/7/22,19,536,555
2019/7/23,33,608,641
2019/7/24,63,752,815
2019/7/25,89,837,926
2019/7/26,90,898,988
2019/7/27,12,728,740
2019/7/28,8,387,395
2019/7/29,115,936,1051
2019/7/30,117,981,1098
2019/7/31,121,1005,1126
2019/8/1,123,1059,1182
2019/8/2,146,971,1117
2019/8/3,40,921,961
2019/8/4,38,435,473
2019/8/5,141,999,1140
2019/8/6,139,1027,1166
2019/8/7,149,1032,1181
2019/8/8,142,1001,1143
2019/8/9,145,1041,1186
2019/8/10,39,808,847
2019/8/11,37,399,436
2019/8/12,37,379,416
2019/8/13,127,920,1047
2019/8/14,129,864,993
2019/8/15,132,839,971
2019/8/16,125,836,961
2019/8/17,41,833,874
2019/8/18,36,452,488
2019/8/19,126,840,966
2019/8/20,103,764,867
2019/8/21,110,770,880
2019/8/22,83,720,803
2019/8/23,80,675,755
2019/8/24,34,614,648
2019/8/25,32,281,313
2019/8/26,77,686,763
2019/8/27,80,688,768
2019/8/28,89,638,727
2019/8/29,102,836,938
2019/8/30,77,643,720
2019/8/31,34,665,699
2019/9/1,32,314,346
2019/9/2,123,846,969
2019/9/3,94,674,768
2019/9/4,33,603,636
2019/9/5,79,650,729
2019/9/6,115,800,915
2019/9/7,35,704,739
2019/9/8,34,335,369
2019/9/9,129,918,1047
2019/9/10,132,918,1050
2019/9/11,129,821,950
2019/9/12,81,721,802
2019/9/13,38,574,612
2019/9/14,28,376,404
2019/9/15,30,233,263
2019/9/16,26,441,467
2019/9/17,84,732,816
2019/9/18,34,542,576
2019/9/19,43,565,608
2019/9/20,37,524,561
2019/9/21,25,346,371
2019/9/22,28,144,172
2019/9/23,34,582,616
2019/9/24,72,621,693
2019/9/25,55,601,656
2019/9/26,44,648,692
2019/9/27,51,653,704
2019/9/28,30,458,488
2019/9/29,29,215,244
2019/9/30,66,623,689
2019/10/1,60,651,711
2019/10/2,56,604,660
2019/10/3,52,629,681
2019/10/4,46,640,686
2019/10/5,14,599,613
2019/10/6,12,140,152
2019/10/7,16,473,489
2019/10/8,22,515,537
2019/10/9,17,436,453
2019/10/10,15,444,459
2019/10/11,15,442,457
2019/10/12,8,61,69
2019/10/13,7,129,136
2019/10/14,8,273,281
2019/10/15,14,365,379
2019/10/16,10,275,285
2019/10/17,8,240,248
2019/10/18,8,242,250
2019/10/19,9,176,185
2019/10/20,7,108,115
2019/10/21,11,241,252
2019/10/22,8,94,102
2019/10/23,10,299,309
2019/10/24,8,242,250
2019/10/25,11,225,236
2019/10/26,7,228,235
2019/10/27,8,85,93
2019/10/28,9,234,243
2019/10/29,7,224,231
2019/10/30,10,273,283
2019/10/31,11,247,258
2019/11/1,9,298,307
2019/11/2,7,197,204
2019/11/3,8,81,89
2019/11/4,8,215,223
2019/11/5,8,242,250
2019/11/6,10,258,268
2019/11/7,7,247,254
2019/11/8,10,245,255
2019/11/9,7,156,163
2019/11/10,7,122,129
2019/11/11,0,0,0
2019/11/12,10,187,197
2019/11/13,8,237,245
2019/11/14,8,203,211
2019/11/15,10,231,241
2019/11/16,8,153,161
2019/11/17,8,145,153
2019/11/18,8,220,228
2019/11/19,9,192,201
2019/11/20,8,237,245
2019/11/21,8,237,245
2019/11/22,48,328,376
2019/11/23,11,223,234
2019/11/24,10,164,174
2019/11/25,8,229,237
2019/11/26,56,214,270
2019/11/27,60,253,313
2019/11/28,58,288,346
2019/11/29,65,342,407
2019/11/30,26,260,286
2019/12/1,9,310,319
2019/12/2,75,296,371
2019/12/3,43,214,257
2019/12/4,56,330,386
2019/12/5,64,302,366
2019/12/6,80,400,480
2019/12/7,26,388,414
2019/12/8,8,304,312
2019/12/9,93,369,462
2019/12/10,70,312,382
2019/12/11,55,275,330
2019/12/12,38,279,317
2019/12/13,71,405,476
2019/12/14,22,275,297
2019/12/15,10,341,351
2019/12/16,79,324,403
2019/12/17,82,336,418
2019/12/18,60,297,357
2019/12/19,77,330,407
2019/12/20,68,284,352
2019/12/21,34,345,379
2019/12/22,12,298,310
2019/12/23,81,352,433
2019/12/24,31,391,422
2019/12/25,91,435,526
2019/12/26,0,0,0
2019/12/27,68,366,434
2019/12/28,18,362,380
2019/12/29,9,172,181
2019/12/30,9,151,160
2019/12/31,9,115,124
2020/1/1,11,55,66
2020/1/2,9,56,65
2020/1/3,73,53,126
2020/1/4,26,513,539
2020/1/5,9,495,504
2020/1/6,95,525,620
2020/1/7,93,513,606
2020/1/8,94,577,671
2020/1/9,66,306,372
2020/1/10,71,359,430
2020/1/11,26,387,413
2020/1/12,9,384,393
2020/1/13,11,397,408
2020/1/14,73,346,419
2020/1/15,84,383,467
2020/1/16,85,415,500
2020/1/17,85,354,439
2020/1/18,22,538,560
2020/1/19,9,438,447
2020/1/20,80,381,461
2020/1/21,85,337,422
2020/1/22,105,472,577
2020/1/23,97,453,550
2020/1/24,64,308,372
2020/1/25,26,423,449
2020/1/26,19,517,536
2020/1/27,99,447,546
2020/1/28,103,487,590
2020/1/29,51,361,412
2020/1/30,52,362,414
2020/1/31,78,272,350
2020/2/1,19,323,342
2020/2/2,21,369,390
2020/2/3,74,352,426
2020/2/4,71,402,473
2020/2/5,69,385,454
2020/2/6,107,533,640
2020/2/7,103,620,723
2020/2/8,28,356,384
2020/2/9,26,443,469
2020/2/10,101,564,665
2020/2/11,8,423,431
2020/2/12,79,385,464
2020/2/13,61,368,429
2020/2/14,50,270,320
2020/2/15,18,223,241
2020/2/16,9,353,362
2020/2/17,70,276,346
2020/2/18,67,251,318
2020/2/19,70,285,355
2020/2/20,74,330,404
2020/2/21,63,309,372
2020/2/22,19,284,303
2020/2/23,9,229,238
2020/2/24,10,269,279
2020/2/25,64,253,317
2020/2/26,76,388,464
2020/2/27,79,381,460
2020/2/28,78,358,436
2020/2/29,17,194,211
2020/3/1,10,321,331
2020/3/2,83,326,409
2020/3/3,52,263,315
2020/3/4,72,342,414
2020/3/5,70,294,364
2020/3/6,65,303,368
2020/3/7,23,287,310
2020/3/8,15,434,449
2020/3/9,50,324,374
2020/3/10,40,254,294
2020/3/11,26,236,262
2020/3/12,52,282,334
2020/3/13,35,324,359
2020/3/14,20,363,383
2020/3/15,10,277,287
2020/3/16,74,387,461
2020/3/17,83,322,405
2020/3/18,40,332,372
2020/3/19,41,266,307
2020/3/20,8,216,224
2020/3/21,15,218,233
2020/3/22,7,138,145
2020/3/23,52,291,343
2020/3/24,66,245,311
2020/3/25,51,335,386
2020/3/26,32,323,355
2020/3/27,22,291,313
2020/3/28,11,269,280
2020/3/29,18,513,531
2020/3/30,83,336,419
2020/3/31,69,315,384
2020/4/1,52,298,350
2020/4/2,27,277,304
2020/4/3,32,268,300
2020/4/4,17,249,266
2020/4/5,9,331,340
2020/4/6,33,261,294
2020/4/7,27,269,296
2020/4/8,25,286,311
2020/4/9,19,273,292
2020/4/10,30,277,307
2020/4/11,15,283,298
2020/4/12,10,366,376
2020/4/13,69,374,443
2020/4/14,41,296,337
2020/4/15,30,253,283
2020/4/16,34,283,317
2020/4/17,33,245,278
2020/4/18,15,328,343
2020/4/19,13,173,186
2020/4/20,72,218,290
2020/4/21,15,202,217
2020/4/22,23,251,274
2020/4/23,28,237,265
2020/4/24,28,234,262
2020/4/25,15,258,273
2020/4/26,8,83,91
2020/4/27,21,249,270
2020/4/28,23,191,214
2020/4/29,8,222,230
2020/4/30,10,235,245
2020/5/1,11,303,314
2020/5/2,8,368,376
2020/5/3,8,87,95
2020/5/4,8,266,274
2020/5/5,8,364,372
2020/5/6,8,218,226
2020/5/7,11,177,188
2020/5/8,11,221,232
2020/5/9,7,190,197
2020/5/10,9,80,89
2020/5/11,43,546,589
2020/5/12,13,463,476
2020/5/13,22,495,517
2020/5/14,16,393,409
2020/5/15,19,485,504
2020/5/16,8,220,228
2020/5/17,8,97,105
2020/5/18,13,345,358
2020/5/19,11,363,374
2020/5/20,10,279,289
2020/5/21,10,256,266
2020/5/22,9,226,235
2020/5/23,8,199,207
2020/5/24,7,59,66
2020/5/25,14,385,399
2020/5/26,13,449,462
2020/5/27,14,480,494
2020/5/28,15,383,398
2020/5/29,19,424,443
2020/5/30,7,402,409
2020/5/31,11,76,87
2020/6/1,13,403,416
2020/6/2,22,563,585
2020/6/3,33,687,720
2020/6/4,26,651,677
2020/6/5,37,810,847
2020/6/6,9,688,697
2020/6/7,9,143,152
2020/6/8,27,701,728
2020/6/9,45,880,925
2020/6/10,44,1037,1081
2020/6/11,41,922,963
2020/6/12,48,976,1024
2020/6/13,9,381,390
2020/6/14,9,118,127
2020/6/15,52,748,800
2020/6/16,41,805,846
2020/6/17,35,658,693
2020/6/18,23,605,628
2020/6/19,15,428,443
2020/6/20,8,485,493
2020/6/21,8,84,92
2020/6/22,16,410,426
2020/6/23,21,586,607
2020/6/24,20,568,588
2020/6/25,14,434,448
2020/6/26,40,688,728
2020/6/27,13,576,589
2020/6/28,9,127,136
2020/6/29,36,649,685
2020/6/30,32,630,662
2020/7/1,34,663,697
2020/7/2,52,771,823
2020/7/3,37,680,717
2020/7/4,19,476,495
2020/7/5,13,215,228
2020/7/6,31,647,678
2020/7/7,48,822,870
2020/7/8,42,709,751
2020/7/9,23,592,615
2020/7/10,35,649,684
2020/7/11,16,798,814
2020/7/12,16,433,449
2020/7/13,17,540,557
2020/7/14,16,584,600
2020/7/15,15,476,491
2020/7/16,16,519,535
2020/7/17,14,411,425
2020/7/18,9,279,288
2020/7/19,7,166,173
2020/7/20,53,812,865
2020/7/21,40,792,832
2020/7/22,48,824,872
2020/7/23,7,491,498
2020/7/24,9,600,609
2020/7/25,11,517,528
2020/7/26,17,298,315
2020/7/27,50,777,827
2020/7/28,46,878,924
2020/7/29,19,626,645
2020/7/30,25,659,684
2020/7/31,34,744,778
2020/8/1,36,620,656
2020/8/2,11,348,359
2020/8/3,82,947,1029
2020/8/4,75,1026,1101
2020/8/5,107,1161,1268
2020/8/6,104,1175,1279
2020/8/7,51,1193,1244
2020/8/8,38,826,864
2020/8/9,45,482,527
2020/8/10,42,1107,1149
2020/8/11,120,1397,1517
2020/8/12,107,1188,1295
2020/8/13,113,1216,1329
2020/8/14,108,1255,1363
2020/8/15,48,1181,1229
2020/8/16,36,740,776
2020/8/17,120,1362,1482
2020/8/18,106,1322,1428
2020/8/19,105,1136,1241
2020/8/20,110,1198,1308
2020/8/21,114,1291,1405
2020/8/22,39,1009,1048
2020/8/23,35,370,405
2020/8/24,98,1003,1101
2020/8/25,94,973,1067
2020/8/26,103,1090,1193
2020/8/27,108,1214,1322
2020/8/28,109,1162,1271
2020/8/29,44,1035,1079
2020/8/30,42,615,657
2020/8/31,101,1064,1165
2020/9/1,59,826,885
2020/9/2,90,971,1061
2020/9/3,103,1039,1142
2020/9/4,118,1275,1393
2020/9/5,43,826,869
2020/9/6,37,381,418
2020/9/7,93,891,984
2020/9/8,104,1056,1160
2020/9/9,101,1055,1156
2020/9/10,95,1032,1127
2020/9/11,111,1085,1196
2020/9/12,38,558,596
2020/9/13,27,225,252
2020/9/14,48,675,723
2020/9/15,49,693,742
2020/9/16,46,702,748
2020/9/17,51,755,806
2020/9/18,73,991,1064
2020/9/19,17,539,556
2020/9/20,16,245,261
2020/9/21,12,288,300
2020/9/22,13,325,338
2020/9/23,17,366,383
2020/9/24,15,308,323
2020/9/25,15,321,336
2020/9/26,10,197,207
2020/9/27,9,78,87
2020/9/28,21,327,348
2020/9/29,15,306,321
2020/9/30,15,296,311
2020/10/1,18,327,345
2020/10/2,17,373,390
2020/10/3,10,381,391
2020/10/4,8,101,109
2020/10/5,18,453,471
2020/10/6,16,410,426
2020/10/7,16,341,357
2020/10/8,9,305,314
2020/10/9,12,315,327
2020/10/10,8,178,186
2020/10/11,8,81,89
2020/10/12,17,340,357
2020/10/13,15,415,430
2020/10/14,16,352,368
2020/10/15,11,314,325
2020/10/16,12,273,285
2020/10/17,9,252,261
2020/10/18,8,159,167
2020/10/19,16,233,249
2020/10/20,9,200,209
2020/10/21,10,237,247
2020/10/22,10,260,270
2020/10/23,11,279,290
2020/10/24,11,176,187
2020/10/25,10,165,175
2020/10/26,11,231,242
2020/10/27,11,240,251
2020/10/28,10,286,296
2020/10/29,12,264,276
2020/10/30,11,254,265
2020/10/31,10,254,264
2020/11/1,9,223,232
2020/11/2,10,242,252
2020/11/3,9,164,173
2020/11/4,17,222,239
2020/11/5,22,253,275
2020/11/6,33,221,254
2020/11/7,11,239,250
2020/11/8,8,139,147
2020/11/9,22,246,268
2020/11/10,40,170,210
2020/11/11,44,242,286
2020/11/12,74,309,383
2020/11/13,38,255,293
2020/11/14,13,185,198
2020/11/15,9,198,207
2020/11/16,25,249,274
2020/11/17,13,208,221
2020/11/18,19,239,258
2020/11/19,12,254,266
2020/11/20,11,319,330
2020/11/21,10,228,238
2020/11/22,11,231,242
2020/11/23,8,238,246
2020/11/24,60,238,298
2020/11/25,75,308,383
2020/11/26,31,258,289
2020/11/27,65,320,385
2020/11/28,8,225,233
2020/11/29,10,361,371
2020/11/30,79,240,319
2020/12/1,79,227,306
2020/12/2,96,381,477
2020/12/3,96,417,513
2020/12/4,97,278,375
2020/12/5,21,452,473
2020/12/6,10,469,479
2020/12/7,80,387,467
2020/12/8,68,308,376
2020/12/9,99,375,474
2020/12/10,99,360,459
2020/12/11,93,314,407
2020/12/12,10,403,413
2020/12/13,8,411,419
2020/12/14,97,411,508
2020/12/15,109,449,558
2020/12/16,107,618,725
2020/12/17,112,538,650
2020/12/18,111,452,563
2020/12/19,9,640,649
2020/12/20,10,543,553
2020/12/21,117,564,681
2020/12/22,107,617,724
2020/12/23,104,526,630
2020/12/24,113,527,640
2020/12/25,98,479,577
2020/12/26,19,478,497
2020/12/27,12,509,521
2020/12/28,102,484,586
2020/12/29,81,219,300
2020/12/30,11,71,82
2020/12/31,8,68,76
2021/1/1,11,57,68
2021/1/2,11,54,65
2021/1/3,8,75,83
2021/1/4,125,822,947
2021/1/5,118,731,849
2021/1/6,121,950,1071
2021/1/7,108,732,840
2021/1/8,129,820,949
2021/1/9,28,854,882
2021/1/10,9,829,838
2021/1/11,9,904,913
2021/1/12,127,911,1038
2021/1/13,114,701,815
2021/1/14,106,587,693
2021/1/15,117,591,708
2021/1/16,17,515,532
2021/1/17,17,664,681
2021/1/18,124,639,763
2021/1/19,119,699,818
2021/1/20,125,750,875
2021/1/21,124,665,789
2021/1/22,98,460,558
2021/1/23,24,693,717
2021/1/24,9,740,749
2021/1/25,109,534,643
2021/1/26,111,562,673
2021/1/27,80,554,634
2021/1/28,119,693,812
2021/1/29,112,581,693
2021/1/30,19,842,861
2021/1/31,10,685,695
2021/2/1,125,656,781
2021/2/2,94,482,576
2021/2/3,107,571,678
2021/2/4,105,529,634
2021/2/5,113,492,605
2021/2/6,28,446,474
2021/2/7,9,434,443
2021/2/8,117,570,687
2021/2/9,121,632,753
2021/2/10,113,602,715
2021/2/11,9,623,632
2021/2/12,110,501,611
2021/2/13,12,393,405
2021/2/14,12,421,433
2021/2/15,91,377,468
2021/2/16,76,324,400
2021/2/17,105,379,484
2021/2/18,116,577,693
2021/2/19,110,528,638
2021/2/20,9,600,609
2021/2/21,11,281,292
2021/2/22,37,221,258
2021/2/23,11,331,342
2021/2/24,108,507,615
2021/2/25,115,562,677
2021/2/26,103,415,518
