ポイント番号,名称,単位
312001038.0,2F 南側OA電力量1,kWh
312001039.0,2F 南側OA電力量2,kWh
312001040.0,2F 南側OA電力量3,kWh
312001041.0,2F 南側OA電力量4,kWh
312001042.0,2F 北側電灯電力量1,kWh
312001043.0,2F 北側電灯電力量2,kWh
312001044.0,2F 北側電灯電力量3,kWh
312001045.0,2F 北側電灯電力量4,kWh
312001046.0,2F 北側OA電力量1,kWh
312001047.0,2F 北側OA電力量2,kWh
312001048.0,2F 北側OA電力量3,kWh
312001049.0,2F 北側OA電力量4,kWh
312001050.0,2F 事務室1 屋外機電力量,kWh
312001051.0,2F 事務室2 屋外機電力量,kWh
312001052.0,3F 事務室1 屋外機電力量,kWh
312001053.0,3F 事務室2 屋外機電力量,kWh
312001054.0,3F OA室 屋外機電力量,kWh
312001055.0,3F 南側電灯電力量1,kWh
312001056.0,3F 南側電灯電力量2,kWh
312001057.0,3F 南側電灯電力量3,kWh
312001058.0,3F 南側電灯電力量4,kWh
312001059.0,3F 南側OA電力量1,kWh
312001060.0,3F 南側OA電力量2,kWh
312001061.0,3F 南側OA電力量3,kWh
312001062.0,3F 南側OA電力量4,kWh
312001063.0,3F 北側電灯電力量1,kWh
312001064.0,3F 北側電灯電力量2,kWh
312001065.0,3F 北側電灯電力量3,kWh
312001066.0,3F 北側電灯電力量4,kWh
312001067.0,3F 北側OA電力量1,kWh
312001068.0,3F 北側OA電力量2,kWh
312001069.0,3F 北側OA電力量3,kWh
312001070.0,3F 北側OA電力量4,kWh
312001071.0,4F 事務室1 屋外機電力量,kWh
312001072.0,4F 事務室2 屋外機電力量,kWh
312001073.0,4F 南側電灯電力量1,kWh
312001074.0,4F 南側電灯電力量2,kWh
312001075.0,4F 南側電灯電力量3,kWh
312001076.0,4F 南側電灯電力量4,kWh
312001077.0,4F 南側OA電力量1,kWh
312001078.0,4F 南側OA電力量2,kWh
312001079.0,4F 南側OA電力量3,kWh
312001080.0,4F 南側OA電力量4,kWh
312001081.0,4F 北側電灯電力量1,kWh
312001082.0,4F 北側電灯電力量2,kWh
312001083.0,4F 北側電灯電力量3,kWh
312001084.0,4F 北側電灯電力量4,kWh
312001085.0,4F 北側OA電力量1,kWh
312001086.0,4F 北側OA電力量2,kWh
312001087.0,4F 北側OA電力量3,kWh
312001088.0,4F 北側OA電力量4,kWh
312001089.0,5F 外気処理ﾕﾆｯﾄ1 電力量,kWh
312001090.0,5F 外気処理ﾕﾆｯﾄ2 電力量,kWh
312001091.0,5F 事務室1 屋外機電力量,kWh
312001092.0,5F 南側電灯電力量1,kWh
312001093.0,5F 南側電灯電力量2,kWh
312001094.0,5F 南側電灯電力量3,kWh
312001095.0,5F 南側電灯電力量4,kWh
312001096.0,5F 南側OA電力量1,kWh
312001097.0,5F 南側OA電力量2,kWh
312001098.0,5F 南側OA電力量3,kWh
312001099.0,5F 南側OA電力量4,kWh
312001100.0,P-1 電力量,kWh
312001101.0,5F ｽﾀｼﾞｵ用電力量1,kWh
312001102.0,5F ｽﾀｼﾞｵ用電力量2,kWh
312001103.0,KWH 5F 三相三線 ﾎﾞｲﾗｰ室,kWh
312001104.0,6F 事務室1 屋外機電力量,kWh
312001105.0,6F 外気処理ﾕﾆｯﾄ 電力量,kWh
312001106.0,6F 南側電灯電力量,kWh
312001107.0,6F 南側OA電力量,kWh
312001108.0,3～5F OA盤(南)電力量,kWh
312001109.0,2～4F OA盤(北)電力量,kWh
312001110.0,1F マシン室OA盤電力量,kWh
312001111.0,KWH 自動販売機電力量,kWh
