ì˙éû,äOãCâ∑,ç~êÖó ,ì˙è∆éûä‘,ïóë¨,ì˙éÀó ,ëäëŒéºìx,ãCà≥,åé,ì˙,éûä‘,èjì˙,ójì˙_ìyójì˙,ójì˙_ì˙ójì˙,ójì˙_åéójì˙,ójì˙_ñÿójì˙,ójì˙_êÖójì˙,ójì˙_âŒójì˙,ójì˙_ã‡ójì˙
2016/4/2 20:00,9.8,0,0,4.5,0,39,4.7,4,2,20,0,1,0,0,0,0,0,0
2016/4/2 21:00,9,0,0,3.7,0,48,5.5,4,2,21,0,1,0,0,0,0,0,0
2016/4/2 22:00,8.5,0,0,2,0,53,5.9,4,2,22,0,1,0,0,0,0,0,0
2016/4/2 23:00,8.4,0,0,2.6,0,56,6.2,4,2,23,0,1,0,0,0,0,0,0
2016/4/3 0:00,8.4,0,0,2.8,0,56,6.2,4,3,0,0,0,1,0,0,0,0,0
2016/4/3 1:00,7.6,0,0,1.5,0,61,6.4,4,3,1,0,0,1,0,0,0,0,0
2016/4/3 2:00,7.7,0,0,1.2,0,61,6.4,4,3,2,0,0,1,0,0,0,0,0
2016/4/3 3:00,6.8,0,0,1.4,0,66,6.5,4,3,3,0,0,1,0,0,0,0,0
2016/4/3 4:00,6.4,0,0,1,0,65,6.2,4,3,4,0,0,1,0,0,0,0,0
2016/4/3 5:00,6,0,0,0.9,0,65,6.1,4,3,5,0,0,1,0,0,0,0,0
2016/4/3 6:00,6.1,0,0.1,1.3,0.01,65,6.1,4,3,6,0,0,1,0,0,0,0,0
2016/4/3 7:00,7.1,0,1,1.9,0.4,61,6.2,4,3,7,0,0,1,0,0,0,0,0
2016/4/3 8:00,9.3,0,1,2.3,1.14,54,6.3,4,3,8,0,0,1,0,0,0,0,0
2016/4/3 9:00,11.3,0,1,3.1,1.88,54,7.2,4,3,9,0,0,1,0,0,0,0,0
2016/4/3 10:00,11.8,0,1,3.7,2.57,48,6.6,4,3,10,0,0,1,0,0,0,0,0
2016/4/3 11:00,12.3,0,1,3.5,3.02,50,7.2,4,3,11,0,0,1,0,0,0,0,0
2016/4/3 12:00,13.9,0,1,4.6,3.28,48,7.6,4,3,12,0,0,1,0,0,0,0,0
2016/4/3 13:00,14.5,0,1,5.2,3.3,46,7.6,4,3,13,0,0,1,0,0,0,0,0
2016/4/3 14:00,15.1,0,1,5.6,3.04,45,7.7,4,3,14,0,0,1,0,0,0,0,0
2016/4/3 15:00,15.7,0,1,3.9,2.53,35,6.2,4,3,15,0,0,1,0,0,0,0,0
2016/4/3 16:00,16.1,0,1,4.8,1.84,34,6.2,4,3,16,0,0,1,0,0,0,0,0
2016/4/3 17:00,15.2,0,0.9,3.2,1.03,41,7.1,4,3,17,0,0,1,0,0,0,0,0
2016/4/3 18:00,14.8,0,0.8,3.2,0.32,43,7.2,4,3,18,0,0,1,0,0,0,0,0
2016/4/3 19:00,14.4,0,0,3.5,0.01,44,7.2,4,3,19,0,0,1,0,0,0,0,0
2016/4/3 20:00,14,0,0,2.4,0,54,8.6,4,3,20,0,0,1,0,0,0,0,0
2016/4/3 21:00,13.9,0,0,1,0,51,8.1,4,3,21,0,0,1,0,0,0,0,0
2016/4/3 22:00,13.9,0,0,1.7,0,42,6.7,4,3,22,0,0,1,0,0,0,0,0
2016/4/3 23:00,13.2,0,0,1.7,0,44,6.7,4,3,23,0,0,1,0,0,0,0,0
2016/4/4 0:00,12.5,0,0,1.6,0,52,7.5,4,4,0,1,0,0,1,0,0,0,0
2016/4/4 1:00,12.7,0,0,2.2,0,46,6.8,4,4,1,1,0,0,1,0,0,0,0
2016/4/4 2:00,11.8,0,0,2.2,0,45,6.2,4,4,2,1,0,0,1,0,0,0,0
2016/4/4 3:00,11.2,0,0,1.9,0,46,6.1,4,4,3,1,0,0,1,0,0,0,0
2016/4/4 4:00,10.9,0,0,2.3,0,49,6.4,4,4,4,1,0,0,1,0,0,0,0
2016/4/4 5:00,10,0,0,1.2,0,55,6.8,4,4,5,1,0,0,1,0,0,0,0
2016/4/4 6:00,9.3,0,0,2,0.01,63,7.4,4,4,6,1,0,0,1,0,0,0,0
2016/4/4 7:00,10.7,0,0.9,0.3,0.37,58,7.5,4,4,7,1,0,0,1,0,0,0,0
2016/4/4 8:00,11.6,0,1,1.7,1.13,56,7.6,4,4,8,1,0,0,1,0,0,0,0
2016/4/4 9:00,12.9,0,1,1.1,1.89,49,7.3,4,4,9,1,0,0,1,0,0,0,0
2016/4/4 10:00,13.7,0,1,1.8,2.54,46,7.2,4,4,10,1,0,0,1,0,0,0,0
2016/4/4 11:00,14.8,0,1,1.1,3,39,6.6,4,4,11,1,0,0,1,0,0,0,0
2016/4/4 12:00,16.1,0,1,1.2,3.27,34,6.2,4,4,12,1,0,0,1,0,0,0,0
2016/4/4 13:00,17.3,0,1,1.4,3.28,33,6.5,4,4,13,1,0,0,1,0,0,0,0
2016/4/4 14:00,18.6,0,1,1.8,3.04,28,6,4,4,14,1,0,0,1,0,0,0,0
2016/4/4 15:00,19.3,0,1,3,2.53,32,7.2,4,4,15,1,0,0,1,0,0,0,0
2016/4/4 16:00,19.1,0,1,3.3,1.89,27,6,4,4,16,1,0,0,1,0,0,0,0
2016/4/4 17:00,18.2,0,1,2.1,1.15,27,5.6,4,4,17,1,0,0,1,0,0,0,0
2016/4/4 18:00,17.8,0,0.9,1.8,0.38,26,5.3,4,4,18,1,0,0,1,0,0,0,0
2016/4/4 19:00,17.1,0,0.1,1.4,0.02,26,5.1,4,4,19,1,0,0,1,0,0,0,0
2016/4/4 20:00,16.7,0,0,1,0,30,5.7,4,4,20,1,0,0,1,0,0,0,0
2016/4/4 21:00,15.1,0,0,0.7,0,36,6.2,4,4,21,1,0,0,1,0,0,0,0
2016/4/4 22:00,15.2,0,0,0.7,0,40,6.9,4,4,22,1,0,0,1,0,0,0,0
2016/4/4 23:00,14.6,0,0,1,0,46,7.6,4,4,23,1,0,0,1,0,0,0,0
2016/4/5 0:00,14,0,0,1.2,0,44,7,4,5,0,1,0,0,0,0,0,1,0
2016/4/5 1:00,12.9,0,0,1.2,0,47,7,4,5,1,1,0,0,0,0,0,1,0
2016/4/5 2:00,11.5,0,0,0.7,0,55,7.5,4,5,2,1,0,0,0,0,0,1,0
2016/4/5 3:00,11.5,0,0,1.1,0,58,7.9,4,5,3,1,0,0,0,0,0,1,0
2016/4/5 4:00,10.7,0,0,1.9,0,59,7.6,4,5,4,1,0,0,0,0,0,1,0
2016/4/5 5:00,10.3,0,0,1.5,0,59,7.4,4,5,5,1,0,0,0,0,0,1,0
2016/4/5 6:00,10.6,0,0,1.9,0.01,56,7.2,4,5,6,1,0,0,0,0,0,1,0
2016/4/5 7:00,11.3,0,0,1.7,0.21,56,7.5,4,5,7,1,0,0,0,0,0,1,0
2016/4/5 8:00,13.1,0,0.6,2,0.83,53,8,4,5,8,1,0,0,0,0,0,1,0
2016/4/5 9:00,15.4,0,1,1.4,1.64,46,8,4,5,9,1,0,0,0,0,0,1,0
2016/4/5 10:00,17.8,0,1,1.4,2.18,41,8.4,4,5,10,1,0,0,0,0,0,1,0
2016/4/5 11:00,19.5,0,0.7,1.3,1.98,41,9.3,4,5,11,1,0,0,0,0,0,1,0
2016/4/5 12:00,19,0,0,2.3,1.49,46,10.1,4,5,12,1,0,0,0,0,0,1,0
2016/4/5 13:00,18.7,0,0,3.4,1.35,47,10.1,4,5,13,1,0,0,0,0,0,1,0
2016/4/5 14:00,18.9,0,0,2.3,1.24,48,10.5,4,5,14,1,0,0,0,0,0,1,0
2016/4/5 15:00,19,0,0,2.5,1.3,51,11.2,4,5,15,1,0,0,0,0,0,1,0
2016/4/5 16:00,18.3,0,0,3.3,0.85,53,11.1,4,5,16,1,0,0,0,0,0,1,0
2016/4/5 17:00,17.5,0,0,2.3,0.4,60,12,4,5,17,1,0,0,0,0,0,1,0
2016/4/5 18:00,17.3,0,0,1.9,0.13,56,11.1,4,5,18,1,0,0,0,0,0,1,0
2016/4/5 19:00,17.3,0,0,1.1,0.02,54,10.7,4,5,19,1,0,0,0,0,0,1,0
2016/4/5 20:00,16.7,0,0,1.4,0,55,10.5,4,5,20,1,0,0,0,0,0,1,0
2016/4/5 21:00,15.8,0,0,1.3,0,60,10.8,4,5,21,1,0,0,0,0,0,1,0
2016/4/5 22:00,16.2,0,0,1.5,0,56,10.3,4,5,22,1,0,0,0,0,0,1,0
2016/4/5 23:00,16.1,0,0,0.8,0,56,10.2,4,5,23,1,0,0,0,0,0,1,0
2016/4/6 0:00,14.2,0,0,1.7,0,65,10.5,4,6,0,1,0,0,0,0,1,0,0
2016/4/6 1:00,14.3,0,0,0.6,0,65,10.6,4,6,1,1,0,0,0,0,1,0,0
2016/4/6 2:00,13.9,0,0,0.9,0,61,9.7,4,6,2,1,0,0,0,0,1,0,0
2016/4/6 3:00,13.4,0,0,0.9,0,65,10,4,6,3,1,0,0,0,0,1,0,0
2016/4/6 4:00,12.3,0,0,1.3,0,75,10.7,4,6,4,1,0,0,0,0,1,0,0
2016/4/6 5:00,12.2,0,0,1,0,79,11.2,4,6,5,1,0,0,0,0,1,0,0
2016/4/6 6:00,12.7,0,0,2,0.01,74,10.9,4,6,6,1,0,0,0,0,1,0,0
2016/4/6 7:00,13.9,0,0,0.2,0.12,67,10.6,4,6,7,1,0,0,0,0,1,0,0
2016/4/6 8:00,15.7,0,0.3,0.4,0.71,58,10.3,4,6,8,1,0,0,0,0,1,0,0
2016/4/6 9:00,18.1,0,0.1,1.9,0.99,52,10.8,4,6,9,1,0,0,0,0,1,0,0
2016/4/6 10:00,18.4,0,0,1.2,1.25,53,11.2,4,6,10,1,0,0,0,0,1,0,0
2016/4/6 11:00,20.1,0,0.2,2.2,1.59,49,11.5,4,6,11,1,0,0,0,0,1,0,0
2016/4/6 12:00,20.6,0,0.3,6.1,1.62,45,10.9,4,6,12,1,0,0,0,0,1,0,0
2016/4/6 13:00,20.4,0,0,4.8,0.42,46,11,4,6,13,1,0,0,0,0,1,0,0
2016/4/6 14:00,20.7,0,0,4.6,0.46,46,11.2,4,6,14,1,0,0,0,0,1,0,0
2016/4/6 15:00,20.7,0,0,3.5,0.59,46,11.2,4,6,15,1,0,0,0,0,1,0,0
2016/4/6 16:00,19.7,0,0,3.9,0.39,55,12.6,4,6,16,1,0,0,0,0,1,0,0
2016/4/6 17:00,19.6,0,0,3.9,0.18,58,13.2,4,6,17,1,0,0,0,0,1,0,0
2016/4/6 18:00,19.5,0,0,2.7,0.11,55,12.5,4,6,18,1,0,0,0,0,1,0,0
2016/4/6 19:00,19.1,0,0,1.6,0,59,13,4,6,19,1,0,0,0,0,1,0,0
2016/4/6 20:00,17.9,0,0,3.2,0,68,13.9,4,6,20,1,0,0,0,0,1,0,0
2016/4/6 21:00,17.7,0,0,1.1,0,71,14.4,4,6,21,1,0,0,0,0,1,0,0
2016/4/6 22:00,17.1,0,0,0.7,0,76,14.8,4,6,22,1,0,0,0,0,1,0,0
2016/4/6 23:00,16.5,1,0,2.3,0,84,15.8,4,6,23,1,0,0,0,0,1,0,0
2016/4/7 0:00,15.7,0.5,0,0.4,0,88,15.7,4,7,0,1,0,0,0,1,0,0,0
2016/4/7 1:00,15.5,0,0,1.3,0,89,15.7,4,7,1,1,0,0,0,1,0,0,0
2016/4/7 2:00,15.4,0.5,0,0.3,0,91,15.9,4,7,2,1,0,0,0,1,0,0,0
2016/4/7 3:00,15,1.5,0,0.7,0,96,16.4,4,7,3,1,0,0,0,1,0,0,0
2016/4/7 4:00,15.3,2,0,2.7,0,95,16.5,4,7,4,1,0,0,0,1,0,0,0
2016/4/7 5:00,15,1.5,0,1,0,95,16.2,4,7,5,1,0,0,0,1,0,0,0
2016/4/7 6:00,15.1,3.5,0,1.6,0,97,16.6,4,7,6,1,0,0,0,1,0,0,0
2016/4/7 7:00,15.6,0,0,1.6,0.04,98,17.4,4,7,7,1,0,0,0,1,0,0,0
2016/4/7 8:00,16,0,0,1.6,0.32,97,17.6,4,7,8,1,0,0,0,1,0,0,0
2016/4/7 9:00,16.9,0,0,1.6,0.65,92,17.7,4,7,9,1,0,0,0,1,0,0,0
2016/4/7 10:00,17.5,0,0,2,0.78,89,17.8,4,7,10,1,0,0,0,1,0,0,0
2016/4/7 11:00,18.1,0,0,1,0.53,87,18.1,4,7,11,1,0,0,0,1,0,0,0
2016/4/7 12:00,19.4,0,0,1,0.78,82,18.5,4,7,12,1,0,0,0,1,0,0,0
2016/4/7 13:00,19.7,0,0,1.5,1.09,80,18.4,4,7,13,1,0,0,0,1,0,0,0
2016/4/7 14:00,19.5,0.5,0,0.6,0.73,82,18.6,4,7,14,1,0,0,0,1,0,0,0
2016/4/7 15:00,19.1,0,0,1.7,0.21,85,18.8,4,7,15,1,0,0,0,1,0,0,0
2016/4/7 16:00,18.8,0,0,2.1,0.16,89,19.3,4,7,16,1,0,0,0,1,0,0,0
2016/4/7 17:00,18.7,0,0,2.2,0.08,90,19.4,4,7,17,1,0,0,0,1,0,0,0
2016/4/7 18:00,18.6,0,0,2.9,0.04,91,19.5,4,7,18,1,0,0,0,1,0,0,0
2016/4/7 19:00,18.2,0,0,1.7,0,95,19.9,4,7,19,1,0,0,0,1,0,0,0
2016/4/7 20:00,17.9,0,0,2.4,0,95,19.5,4,7,20,1,0,0,0,1,0,0,0
2016/4/7 21:00,17.4,1,0,2.5,0,96,19.1,4,7,21,1,0,0,0,1,0,0,0
2016/4/7 22:00,17.1,0.5,0,2.6,0,97,18.9,4,7,22,1,0,0,0,1,0,0,0
2016/4/7 23:00,17.1,0,0,2.1,0,96,18.7,4,7,23,1,0,0,0,1,0,0,0
2016/4/8 0:00,17,0,0,2.5,0,95,18.4,4,8,0,1,0,0,0,0,0,0,1
2016/4/8 1:00,17.1,0,0,1.4,0,96,18.7,4,8,1,1,0,0,0,0,0,0,1
2016/4/8 2:00,17.1,0,0,0.9,0,95,18.5,4,8,2,1,0,0,0,0,0,0,1
2016/4/8 3:00,16.8,0,0,0.4,0,97,18.6,4,8,3,1,0,0,0,0,0,0,1
2016/4/8 4:00,16.9,0,0,1.9,0,97,18.7,4,8,4,1,0,0,0,0,0,0,1
2016/4/8 5:00,16.9,0,0,2.4,0,97,18.7,4,8,5,1,0,0,0,0,0,0,1
2016/4/8 6:00,16.9,0.5,0,1.1,0,98,18.9,4,8,6,1,0,0,0,0,0,0,1
2016/4/8 7:00,17.2,0,0,1.2,0.07,97,19,4,8,7,1,0,0,0,0,0,0,1
2016/4/8 8:00,17.5,0,0,1.2,0.22,97,19.4,4,8,8,1,0,0,0,0,0,0,1
2016/4/8 9:00,17.8,0.5,0,0.8,0.2,95,19.4,4,8,9,1,0,0,0,0,0,0,1
2016/4/8 10:00,17.9,0.5,0,1.3,0.33,97,19.9,4,8,10,1,0,0,0,0,0,0,1
2016/4/8 11:00,18.4,0,0,0.9,0.38,96,20.3,4,8,11,1,0,0,0,0,0,0,1
2016/4/8 12:00,19.2,0,0,0.9,0.62,93,20.7,4,8,12,1,0,0,0,0,0,0,1
2016/4/8 13:00,19.7,0,0,0.5,0.89,90,20.7,4,8,13,1,0,0,0,0,0,0,1
2016/4/8 14:00,19.8,0,0,2.3,0.46,90,20.8,4,8,14,1,0,0,0,0,0,0,1
2016/4/8 15:00,19.5,0,0,3.2,0.43,92,20.9,4,8,15,1,0,0,0,0,0,0,1
2016/4/8 16:00,18.8,0,0,2.9,0.27,93,20.2,4,8,16,1,0,0,0,0,0,0,1
2016/4/8 17:00,18.7,1,0,2.8,0.05,96,20.7,4,8,17,1,0,0,0,0,0,0,1
2016/4/8 18:00,18.6,0.5,0,2.9,0.02,95,20.4,4,8,18,1,0,0,0,0,0,0,1
2016/4/8 19:00,18.6,0,0,2.8,0,92,19.7,4,8,19,1,0,0,0,0,0,0,1
2016/4/8 20:00,18.4,0,0,1.9,0,93,19.7,4,8,20,1,0,0,0,0,0,0,1
2016/4/8 21:00,17.9,0,0,1.2,0,94,19.3,4,8,21,1,0,0,0,0,0,0,1
2016/4/8 22:00,17.9,0,0,1,0,95,19.5,4,8,22,1,0,0,0,0,0,0,1
2016/4/8 23:00,18,0,0,0.9,0,96,19.8,4,8,23,1,0,0,0,0,0,0,1
2016/4/9 0:00,18.2,0,0,0.6,0,97,20.3,4,9,0,0,1,0,0,0,0,0,0
2016/4/9 1:00,18.1,0,0,0.9,0,98,20.4,4,9,1,0,1,0,0,0,0,0,0
2016/4/9 2:00,18.2,0.5,0,1,0,98,20.5,4,9,2,0,1,0,0,0,0,0,0
2016/4/9 3:00,18,0,0,0,0,98,20.2,4,9,3,0,1,0,0,0,0,0,0
2016/4/9 4:00,17.6,0,0,1.1,0,98,19.7,4,9,4,0,1,0,0,0,0,0,0
2016/4/9 5:00,17.8,0.5,0,1.2,0,99,20.2,4,9,5,0,1,0,0,0,0,0,0
2016/4/9 6:00,16.7,0,0,4.2,0,86,16.4,4,9,6,0,1,0,0,0,0,0,0
2016/4/9 7:00,15.8,0,0,2.8,0.04,82,14.7,4,9,7,0,1,0,0,0,0,0,0
2016/4/9 8:00,15.4,0.5,0,2.1,0.11,86,15,4,9,8,0,1,0,0,0,0,0,0
2016/4/9 9:00,15.1,1,0,1,0.2,87,14.9,4,9,9,0,1,0,0,0,0,0,0
2016/4/9 10:00,16.2,0,0.1,3.4,1.15,73,13.4,4,9,10,0,1,0,0,0,0,0,0
2016/4/9 11:00,17.1,0,0,2.2,0.88,71,13.8,4,9,11,0,1,0,0,0,0,0,0
2016/4/9 12:00,17.7,0,0,2.9,1.33,63,12.8,4,9,12,0,1,0,0,0,0,0,0
2016/4/9 13:00,17.9,0,0,2.8,1.58,61,12.5,4,9,13,0,1,0,0,0,0,0,0
2016/4/9 14:00,17,0,0.1,4.6,1.64,63,12.2,4,9,14,0,1,0,0,0,0,0,0
2016/4/9 15:00,15.7,0,0.2,4.9,1.25,68,12.1,4,9,15,0,1,0,0,0,0,0,0
2016/4/9 16:00,15,0,0,3,0.31,67,11.4,4,9,16,0,1,0,0,0,0,0,0
2016/4/9 17:00,15,0,0,5.1,0.17,65,11.1,4,9,17,0,1,0,0,0,0,0,0
2016/4/9 18:00,14.6,0,0,5.1,0.06,67,11.1,4,9,18,0,1,0,0,0,0,0,0
2016/4/9 19:00,13.7,0,0,3.6,0,66,10.3,4,9,19,0,1,0,0,0,0,0,0
2016/4/9 20:00,13.2,0,0,3.7,0,66,10,4,9,20,0,1,0,0,0,0,0,0
2016/4/9 21:00,12.8,0,0,3.9,0,65,9.6,4,9,21,0,1,0,0,0,0,0,0
2016/4/9 22:00,11.9,0,0,5,0,63,8.8,4,9,22,0,1,0,0,0,0,0,0
2016/4/9 23:00,11.2,0,0,4,0,54,7.2,4,9,23,0,1,0,0,0,0,0,0
2016/4/10 0:00,10.6,0,0,3,0,54,6.9,4,10,0,0,0,1,0,0,0,0,0
2016/4/10 1:00,10.3,0,0,3.3,0,55,6.9,4,10,1,0,0,1,0,0,0,0,0
2016/4/10 2:00,10,0,0,4.7,0,55,6.8,4,10,2,0,0,1,0,0,0,0,0
2016/4/10 3:00,9.5,0,0,3.7,0,57,6.8,4,10,3,0,0,1,0,0,0,0,0
2016/4/10 4:00,9.2,0,0,2.4,0,54,6.3,4,10,4,0,0,1,0,0,0,0,0
2016/4/10 5:00,8.8,0,0,2.2,0,57,6.5,4,10,5,0,0,1,0,0,0,0,0
2016/4/10 6:00,8.3,0,0,1.8,0.02,61,6.7,4,10,6,0,0,1,0,0,0,0,0
2016/4/10 7:00,9.1,0,0.1,3.9,0.35,55,6.4,4,10,7,0,0,1,0,0,0,0,0
2016/4/10 8:00,10.7,0,0.9,4.8,1,54,6.9,4,10,8,0,0,1,0,0,0,0,0
2016/4/10 9:00,11.2,0,0.1,5.4,1.13,48,6.4,4,10,9,0,0,1,0,0,0,0,0
2016/4/10 10:00,12.3,0,0,4.5,1.03,49,7,4,10,10,0,0,1,0,0,0,0,0
2016/4/10 11:00,13.7,0,0,4.4,0.87,51,8,4,10,11,0,0,1,0,0,0,0,0
2016/4/10 12:00,14.5,0,0,4.3,1.02,55,9.1,4,10,12,0,0,1,0,0,0,0,0
2016/4/10 13:00,15.7,0,0.1,4.7,1.33,58,10.3,4,10,13,0,0,1,0,0,0,0,0
2016/4/10 14:00,16.6,0,0.1,4.2,1.57,58,11,4,10,14,0,0,1,0,0,0,0,0
2016/4/10 15:00,16.9,0,0,4.8,0.86,55,10.6,4,10,15,0,0,1,0,0,0,0,0
2016/4/10 16:00,15.6,0,0,4.3,0.51,58,10.3,4,10,16,0,0,1,0,0,0,0,0
2016/4/10 17:00,15,0,0,4.3,0.34,56,9.5,4,10,17,0,0,1,0,0,0,0,0
2016/4/10 18:00,14.7,0,0,4.1,0.08,59,9.9,4,10,18,0,0,1,0,0,0,0,0
2016/4/10 19:00,14.4,0,0,3,0.01,60,9.8,4,10,19,0,0,1,0,0,0,0,0
2016/4/10 20:00,14.4,0,0,2.6,0,60,9.8,4,10,20,0,0,1,0,0,0,0,0
2016/4/10 21:00,14.2,0,0,3.1,0,61,9.9,4,10,21,0,0,1,0,0,0,0,0
2016/4/10 22:00,14,0,0,2.1,0,62,9.9,4,10,22,0,0,1,0,0,0,0,0
2016/4/10 23:00,14.3,0,0,3.8,0,59,9.6,4,10,23,0,0,1,0,0,0,0,0
2016/4/11 0:00,14.2,0,0,4.3,0,59,9.6,4,11,0,1,0,0,1,0,0,0,0
2016/4/11 1:00,13.6,0,0,3.6,0,67,10.4,4,11,1,1,0,0,1,0,0,0,0
2016/4/11 2:00,12.9,0,0,4,0,75,11.2,4,11,2,1,0,0,1,0,0,0,0
2016/4/11 3:00,13.9,0,0,3.9,0,69,11,4,11,3,1,0,0,1,0,0,0,0
2016/4/11 4:00,12.5,0.5,0,4.3,0,81,11.7,4,11,4,1,0,0,1,0,0,0,0
2016/4/11 5:00,11.3,1.5,0,4.4,0,86,11.5,4,11,5,1,0,0,1,0,0,0,0
2016/4/11 6:00,11.3,1,0,5.7,0,85,11.4,4,11,6,1,0,0,1,0,0,0,0
2016/4/11 7:00,12,0,0,8.3,0.09,77,10.8,4,11,7,1,0,0,1,0,0,0,0
2016/4/11 8:00,12.4,0,0,8.1,0.2,76,10.9,4,11,8,1,0,0,1,0,0,0,0
2016/4/11 9:00,12.5,0.5,0,7,0.38,82,11.9,4,11,9,1,0,0,1,0,0,0,0
2016/4/11 10:00,12.9,0.5,0,4.5,0.68,84,12.5,4,11,10,1,0,0,1,0,0,0,0
2016/4/11 11:00,13.5,0.5,0,5.2,0.96,85,13.2,4,11,11,1,0,0,1,0,0,0,0
